Date/Time,Time Elapsed (Seconds),A/D Unit,A0 (mV),A1 (mV),A2 (mV),A3 (mV)
2018-03-14 13:53:31 134269,0.015143197999350377,0,3.500106814783166,3276.4749900814845,702.896450697348,716.5218665120395
2018-03-14 13:53:31 147961,0.028724150999551057,1,3.6251106295968505,3276.724997711112,710.021668141728,948.903958250679
2018-03-14 13:53:31 161500,0.0422385950005264,2,3.1250953703421125,3288.1003448591573,705.8965422528763,581.5177465132602
2018-03-14 13:53:31 175228,0.056012146998909884,3,2.6250801110873745,3287.1003143406474,703.7714774010437,692.5211340678121
2018-03-14 13:53:32 134182,1.0149758749994362,0,3.500106814783166,3276.599993896298,703.0214545121617,726.1471602526933
2018-03-14 13:53:32 148844,1.0296175299990864,1,3.500106814783166,3276.724997711112,709.7716605121005,955.7791680654317
2018-03-14 13:53:32 162483,1.0432031210002606,2,3.1250953703421125,3288.1003448591573,705.8965422528763,581.7677541428876
2018-03-14 13:53:32 175898,1.0566128850005043,3,2.750083925901059,3286.85030671102,703.7714774010437,701.0213934751426
2018-03-14 13:53:33 134155,2.0149457930001518,0,3.500106814783166,3276.599993896298,702.896450697348,735.3974425489059
2018-03-14 13:53:33 147799,2.028577271999893,1,3.6251106295968505,3276.599993896298,709.8966643269142,761.2732322153386
2018-03-14 13:53:33 161299,2.0420211529999506,2,3.1250953703421125,3288.1003448591573,705.7715384380626,506.2654499954222
2018-03-14 13:53:33 174715,2.0554179520004254,3,2.6250801110873745,3286.85030671102,703.8964812158574,725.8971526230658
2018-03-14 13:53:34 133996,3.014785302999371,0,3.6251106295968505,3276.4749900814845,703.0214545121617,746.7727896969512
2018-03-14 13:53:34 147638,3.028418452000551,1,3.6251106295968505,3276.724997711112,709.6466566972869,608.1435590685751
2018-03-14 13:53:34 161153,3.041861659999995,2,3.1250953703421125,3287.975341044343,706.02154606769,405.51237525559253
2018-03-14 13:53:34 174528,3.0552221609996195,3,2.50007629627369,3287.225318155461,703.8964812158574,738.0225226599932
2018-03-14 13:53:35 134258,4.015065896999658,0,3.500106814783166,3276.599993896298,702.7714468825343,765.5233619190038
2018-03-14 13:53:35 147823,4.028586344998985,1,3.6251106295968505,3276.599993896298,709.7716605121005,598.2682576982941
2018-03-14 13:53:35 161363,4.042119345000174,2,3.1250953703421125,3288.1003448591573,705.8965422528763,379.8865932187872
2018-03-14 13:53:35 174817,4.05552370300029,3,2.750083925901059,3287.1003143406474,703.7714774010437,748.6478469191564
2018-03-14 13:53:36 134172,5.014968171999499,0,3.6251106295968505,3276.724997711112,702.896450697348,869.1515243995483
2018-03-14 13:53:36 147829,5.0285935169995355,1,3.500106814783166,3276.9750053407392,709.6466566972869,586.5178991058077
2018-03-14 13:53:36 161358,5.0421134480002365,2,3.000091555528428,3287.725333414716,705.8965422528763,491.7650074770348
2018-03-14 13:53:36 174823,5.055527079999592,3,2.6250801110873745,3286.9753105258337,703.7714774010437,779.6487929929502
