Date/Time,Time Interval (Seconds),0A0,0A1,0A2,0A3
2018-06-07 14:31:58:751210,0.0,2995,22579,27894,7412
2018-06-07 14:31:58:852024,0.1008,31956,26937,13722,16461
2018-06-07 14:31:58:952444,0.2012,24097,30211,25905,27662
2018-06-07 14:31:59:052303,0.3012,8229,9712,32516,8434
2018-06-07 14:31:59:152914,0.4019,12955,17803,28938,19793
2018-06-07 14:31:59:252780,0.5017,21314,27019,26795,20600
2018-06-07 14:31:59:351815,0.6008,13100,13263,29589,12455
2018-06-07 14:31:59:452021,0.701,1801,28804,2186,13575
2018-06-07 14:31:59:553151,0.802,2414,19217,14771,32381
2018-06-07 14:31:59:651512,0.9004,2926,16839,25162,31989
2018-06-07 14:31:59:752796,1.0018,30493,30163,4906,13548
2018-06-07 14:31:59:852061,1.101,22029,22555,8678,8348
2018-06-07 14:31:59:952316,1.2011,25363,5861,9107,1604
2018-06-07 14:32:00:052509,1.3013,11545,8548,3579,2341
2018-06-07 14:32:00:152343,1.4013,21799,32361,24693,29174
2018-06-07 14:32:00:252483,1.5014,8389,22399,2683,25599
2018-06-07 14:32:00:352768,1.6017,25224,7999,26572,6979
2018-06-07 14:32:00:451770,1.7007,1915,13146,18136,31332
2018-06-07 14:32:00:553264,1.8022,9891,14616,5246,19938
2018-06-07 14:32:00:652468,1.9014,27657,27871,20696,8124
2018-06-07 14:32:00:752824,2.0018,25161,8074,22602,12726
2018-06-07 14:32:00:852110,2.1011,22625,11492,1828,13926
2018-06-07 14:32:00:952895,2.2019,16842,16807,487,7192
2018-06-07 14:32:01:052543,2.3014,18356,21475,2364,1396
2018-06-07 14:32:01:152542,2.4013,3529,18025,32068,7808
2018-06-07 14:32:01:252395,2.5013,11992,31556,13555,13126
2018-06-07 14:32:01:352714,2.6017,28039,2012,14638,25906
2018-06-07 14:32:01:451932,2.7009,31494,24818,30242,5907
2018-06-07 14:32:01:552197,2.801,26802,14222,11864,27067
2018-06-07 14:32:01:651936,2.9008,23915,20238,29155,12486
2018-06-07 14:32:01:752154,3.0011,16338,7593,19448,6101
2018-06-07 14:32:01:852493,3.1015,24750,7654,663,6598
2018-06-07 14:32:01:952893,3.2018,30496,3455,14838,10359
2018-06-07 14:32:02:052083,3.3011,20933,26235,4373,10375
2018-06-07 14:32:02:152351,3.4011,7266,27992,7304,21772
2018-06-07 14:32:02:252078,3.5011,19930,17312,11228,12592
2018-06-07 14:32:02:351949,3.6009,30510,26172,2948,21677
2018-06-07 14:32:02:451952,3.7009,8869,10302,29829,28370
2018-06-07 14:32:02:552145,3.8017,7632,379,1666,1013
2018-06-07 14:32:02:652653,3.9016,20937,31991,24460,830
2018-06-07 14:32:02:752158,4.0012,11374,27356,25126,18229
2018-06-07 14:32:02:852478,4.1015,25714,25265,5489,20091
2018-06-07 14:32:02:952742,4.2016,32386,25271,16506,21829
2018-06-07 14:32:03:053002,4.3018,6393,6851,25895,16337
2018-06-07 14:32:03:153216,4.4021,752,31650,25045,10557
2018-06-07 14:32:03:251903,4.5009,6593,28496,23864,2634
2018-06-07 14:32:03:351768,4.6007,17386,18813,4320,24405
2018-06-07 14:32:03:451820,4.7008,74,29976,15332,19102
2018-06-07 14:32:03:552259,4.8012,4255,15195,31118,25537
2018-06-07 14:32:03:652603,4.9016,10823,20484,20921,13334
2018-06-07 14:32:03:752226,5.0012,19794,23310,28097,21400
2018-06-07 14:32:03:852241,5.1012,19979,16329,4792,4553
2018-06-07 14:32:03:952745,5.2017,2679,30718,4773,30906
2018-06-07 14:32:04:052885,5.3025,27839,12088,31073,18103
2018-06-07 14:32:04:152067,5.401,3817,35,6275,2740
2018-06-07 14:32:04:251887,5.5009,12512,7471,30931,12185
2018-06-07 14:32:04:351926,5.6007,22079,14572,24503,13886
2018-06-07 14:32:04:452130,5.7011,10171,13752,29617,21608
2018-06-07 14:32:04:552394,5.8012,2073,4279,26140,3071
2018-06-07 14:32:04:651917,5.9007,10015,11361,6760,16114
2018-06-07 14:32:04:752693,6.0017,15314,7099,8387,11633
2018-06-07 14:32:04:852262,6.1012,18631,18767,3509,20816
2018-06-07 14:32:04:952846,6.2018,3314,7208,14980,18972
2018-06-07 14:32:05:052216,6.3011,13122,16146,7180,26366
2018-06-07 14:32:05:152539,6.4022,29560,11251,14472,17420
2018-06-07 14:32:05:252282,6.5013,30728,16751,6962,4463
2018-06-07 14:32:05:352054,6.601,29305,31112,17701,16344
2018-06-07 14:32:05:452318,6.7011,20447,13743,20382,18872
2018-06-07 14:32:05:551875,6.8009,12557,28471,25604,7098
2018-06-07 14:32:05:651774,6.9008,9252,2443,1799,24668
2018-06-07 14:32:05:753011,7.002,8280,20900,28018,21660
2018-06-07 14:32:05:852535,7.1015,937,6664,7332,275
2018-06-07 14:32:05:951593,7.2005,29471,26144,14517,23942
2018-06-07 14:32:06:052275,7.3013,14725,27320,22305,3146
2018-06-07 14:32:06:152532,7.4014,18317,14840,6944,20140
2018-06-07 14:32:06:252248,7.501,12823,17462,24988,6845
2018-06-07 14:32:06:353050,7.602,13839,14914,3980,17558
2018-06-07 14:32:06:452154,7.7011,9935,1926,2788,27998
2018-06-07 14:32:06:552491,7.8013,16920,20376,9767,14934
2018-06-07 14:32:06:652003,7.901,26048,3174,9125,2934
2018-06-07 14:32:06:751794,8.0008,8725,24111,29640,12563
2018-06-07 14:32:06:851813,8.1008,18054,10291,20064,6708
2018-06-07 14:32:06:952185,8.2012,25083,4347,14824,14524
2018-06-07 14:32:07:051797,8.3008,18573,7463,12131,2247
2018-06-07 14:32:07:152207,8.4012,28097,4542,20686,19100
2018-06-07 14:32:07:252633,8.5016,9666,820,27414,12361
2018-06-07 14:32:07:351863,8.6009,19107,9701,28025,11883
2018-06-07 14:32:07:451865,8.7008,12064,30028,6739,22215
2018-06-07 14:32:07:551840,8.8007,9643,11075,31772,17526
2018-06-07 14:32:07:652409,8.9014,3534,8078,10033,24708
2018-06-07 14:32:07:752673,9.0015,3756,2383,9863,27817
2018-06-07 14:32:07:852904,9.1018,26537,190,5680,12673
2018-06-07 14:32:07:952316,9.2013,29610,5668,20822,22223
2018-06-07 14:32:08:052316,9.3013,29555,4097,32504,30050
2018-06-07 14:32:08:152811,9.4018,22754,4827,7494,22712
2018-06-07 14:32:08:252750,9.5018,30100,21474,28965,25808
2018-06-07 14:32:08:352382,9.6013,4142,996,26560,4466
2018-06-07 14:32:08:452367,9.7015,16812,20319,28160,10462
2018-06-07 14:32:08:552022,9.801,15622,27627,32506,17262
2018-06-07 14:32:08:652064,9.901,7720,16654,22670,16973
2018-06-07 14:32:08:752319,10.0011,15886,23839,523,20382
2018-06-07 14:32:08:851983,10.1009,23279,23693,19813,15693
2018-06-07 14:32:08:952725,10.2017,29781,10583,30864,18354
2018-06-07 14:32:09:052392,10.3014,19319,26380,14609,31620
2018-06-07 14:32:09:152104,10.4011,23970,27202,12037,30581
2018-06-07 14:32:09:252410,10.5013,11325,24751,29006,26506
2018-06-07 14:32:09:352621,10.6014,27659,14112,11790,1499
2018-06-07 14:32:09:452841,10.7016,25755,19640,7323,13507
2018-06-07 14:32:09:551989,10.8009,30185,21975,18625,480
2018-06-07 14:32:09:652505,10.9014,7516,5553,22598,22786
2018-06-07 14:32:09:752365,11.0013,20472,6458,9001,26387
2018-06-07 14:32:09:852276,11.1011,29986,26984,4594,27044
2018-06-07 14:32:09:952615,11.2014,27230,4575,17292,17164
2018-06-07 14:32:10:051905,11.3009,26396,21011,19212,24122
2018-06-07 14:32:10:152353,11.4014,6936,1923,9068,4824
2018-06-07 14:32:10:252291,11.5012,31060,25415,1625,22352
2018-06-07 14:32:10:352573,11.6016,11794,20137,19530,1228
2018-06-07 14:32:10:452731,11.7017,17444,26936,30117,25998
2018-06-07 14:32:10:552378,11.8013,4346,11705,8716,31685
2018-06-07 14:32:10:652316,11.9013,26631,25025,24937,1678
2018-06-07 14:32:10:752837,12.0018,11186,19587,20258,6479
2018-06-07 14:32:10:852145,12.1011,30381,17374,7857,17311
2018-06-07 14:32:10:952388,12.2012,28584,3238,26276,32505
2018-06-07 14:32:11:052151,12.301,25688,19909,21341,3104
2018-06-07 14:32:11:152175,12.4012,14027,19543,25182,15510
2018-06-07 14:32:11:252564,12.5015,7917,3396,7083,8274
2018-06-07 14:32:11:352206,12.6011,29877,6026,28095,14212
2018-06-07 14:32:11:451973,12.701,26659,5427,16345,8714
2018-06-07 14:32:11:552282,12.8012,1676,7156,8507,20435
2018-06-07 14:32:11:652088,12.901,11439,30193,10083,5493
2018-06-07 14:32:11:752309,13.0013,31840,26993,30812,3452
2018-06-07 14:32:11:852721,13.1017,974,1258,24028,16913
2018-06-07 14:32:11:952257,13.2012,6272,5188,966,22402
2018-06-07 14:32:12:052516,13.3013,11078,1303,15492,17298
2018-06-07 14:32:12:151674,13.4005,10797,21438,2095,20645
2018-06-07 14:32:12:253000,13.502,26573,20845,17966,25428
2018-06-07 14:32:12:352273,13.6013,3597,29080,7983,9890
2018-06-07 14:32:12:452570,13.7014,18512,26474,29715,7731
2018-06-07 14:32:12:552795,13.8016,18391,7394,6409,11836
2018-06-07 14:32:12:652368,13.9012,23458,12138,20350,27256
2018-06-07 14:32:12:752719,14.0017,18060,4059,31788,4233
