Date/Time,Time Interval (Seconds),0A0,0A1,0A2,0A3
2018-05-10 12:11:24:145328,0.0002,0,-1,0,-2
2018-05-10 12:11:24:345560,0.2004,-1,0,0,0
2018-05-10 12:11:24:545573,0.4005,0,1,-1,-1
2018-05-10 12:11:24:745596,0.6006,-1,0,0,0
2018-05-10 12:11:24:945618,0.8006,-1,0,-1,-1
2018-05-10 12:11:25:145588,1.0006,0,-1,0,-1
2018-05-10 12:11:25:345573,1.2005,-1,0,0,0
2018-05-10 12:11:25:545628,1.4006,-1,1,0,-1
2018-05-10 12:11:25:745605,1.6006,-1,-1,-1,-1
2018-05-10 12:11:25:945597,1.8006,-1,-1,-1,0
2018-05-10 12:11:26:145592,2.0006,-1,0,-1,0
2018-05-10 12:11:26:345580,2.2005,0,-1,-1,-1
2018-05-10 12:11:26:545594,2.4006,-1,0,0,0
2018-05-10 12:11:26:745614,2.6006,-1,0,-1,0
2018-05-10 12:11:26:945683,2.8008,-1,0,-1,-1
2018-05-10 12:11:27:145602,3.0006,0,-1,0,-1
2018-05-10 12:11:27:345662,3.2007,0,0,0,-1
2018-05-10 12:11:27:545631,3.4007,-1,-1,0,-1
