Name:,Default,ID:,f6940638-f7eb-48cb-94f0-24c5d0d22f64,Time Interval,1
Input Type,/,Edit Me,Edit Me
Gain,/,1,1
Low Scale,/,0,0
Scale High,/,0,0
Unit,/,Edit Me 2,Edit Me 2
Name of Pin/Date and Time,Time Elapsed,0A1,0A0
2018-04-13 09:22:11:400577,0.0004,51,25917
2018-04-13 09:22:12:401447,1.0012,25917,25917
2018-04-13 09:22:13:401413,2.0011,25917,25919
2018-04-13 09:22:14:401452,3.0012,25919,25918
2018-04-13 09:22:15:401416,4.0011,25918,25917
2018-04-13 09:22:16:401396,5.0011,25917,25918
2018-04-13 09:22:17:401428,6.0012,25918,25918
2018-04-13 09:22:18:401386,7.0011,25918,25919
2018-04-13 09:22:19:401435,8.0011,25919,25919
2018-04-13 09:22:20:401412,9.0011,25919,25918
2018-04-13 09:22:21:401386,10.0011,25918,25919
2018-04-13 09:22:22:401379,11.0011,25919,25919
2018-04-13 09:22:23:401419,12.0011,25919,25918
