Date/Time,Time Interval (Seconds),0A0 mm,0A1 mm,0A2 mBar,0A3 V
2018-04-23 15:39:33:707196,0.0003,-0.009375286111026337,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:39:34:307373,0.6005,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.394637043366802
2018-04-23 15:39:34:907352,1.2005,29.597778252510146,-0.009375286111026337,-100.03125095370342,0.39476204718161567
2018-04-23 15:39:35:507316,1.8003,29.607153538621173,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:39:36:107354,2.4005,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:39:36:707347,3.0005,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:39:37:307349,3.6004,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:39:37:907346,4.2005,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:39:38:507353,4.8005,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:39:39:107351,5.4005,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.394637043366802
2018-04-23 15:39:39:707342,6.0004,29.597778252510146,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:39:40:307346,6.6004,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:39:40:907337,7.2004,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:39:41:507336,7.8004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:39:42:107337,8.4004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.39476204718161567
2018-04-23 15:39:42:707345,9.0004,29.607153538621173,-0.009375286111026337,-100.03125095370342,0.39476204718161567
2018-04-23 15:39:43:307344,9.6004,29.607153538621173,-0.009375286111026337,-100.03125095370342,0.394637043366802
2018-04-23 15:39:43:907344,10.2004,29.597778252510146,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:39:44:507362,10.8005,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:39:45:107445,11.4005,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:39:45:707344,12.0004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:39:46:307340,12.6004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.394637043366802
2018-04-23 15:39:46:907340,13.2004,29.597778252510146,-0.009375286111026337,-100.03125095370342,0.3945120395519883
2018-04-23 15:39:47:507339,13.8004,29.588402966399123,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:39:48:107339,14.4004,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.394637043366802
2018-04-23 15:39:48:707337,15.0004,29.597778252510146,-0.009375286111026337,-100.03125095370342,0.39438703573717465
2018-04-23 15:39:49:307336,15.6004,29.579027680288096,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:39:49:907337,16.2004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.394637043366802
2018-04-23 15:39:50:507334,16.8004,29.597778252510146,-0.009375286111026337,-100.03125095370342,0.39413702810754725
2018-04-23 15:39:51:107342,17.4004,29.560277108066042,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:39:51:707344,18.0004,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.39413702810754725
2018-04-23 15:39:52:307349,18.6004,29.560277108066042,-0.009375286111026337,-100.03125095370342,0.3940120242927336
2018-04-23 15:39:52:907346,19.2005,29.550901821955016,-0.009375286111026337,-100.03125095370342,0.3938870204779199
2018-04-23 15:39:53:507345,19.8004,29.54152653584399,-0.009375286111026337,-100.03125095370342,0.3940120242927336
2018-04-23 15:39:54:107346,20.4004,29.550901821955016,-0.4781395916623432,-101.59379863887447,0.3940120242927336
2018-04-23 15:39:54:707348,21.0005,29.550901821955016,-0.009375286111026337,-100.03125095370342,0.39413702810754725
2018-04-23 15:39:55:307351,21.6005,29.560277108066042,-0.41251258888515885,-101.37504196295053,0.3938870204779199
2018-04-23 15:39:55:907349,22.2004,29.54152653584399,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:39:56:507351,22.8005,29.56965239417707,-0.009375286111026337,-100.03125095370342,0.3942620319223609
2018-04-23 15:39:57:107432,23.4005,29.56965239417707,-0.9375286111026337,-103.12509537034211,0.3942620319223609
2018-04-23 15:39:57:707339,24.0004,29.56965239417707,-3.1782219916379284,-110.59407330545976,0.3942620319223609
2018-04-23 15:39:58:307334,24.6004,29.56965239417707,-7.359599597155675,-124.53199865718558,0.39413702810754725
2018-04-23 15:39:58:907336,25.2004,29.560277108066042,-7.359599597155675,-124.53199865718558,0.39413702810754725
2018-04-23 15:39:59:507338,25.8004,29.560277108066042,-7.350224311044649,-124.50074770348216,0.3940120242927336
2018-04-23 15:40:00:107346,26.4005,29.550901821955016,-7.359599597155675,-124.53199865718558,0.3945120395519883
2018-04-23 15:40:00:707348,27.0005,29.588402966399123,-7.359599597155675,-124.53199865718558,0.39413702810754725
2018-04-23 15:40:01:307341,27.6004,29.560277108066042,-7.359599597155675,-124.53199865718558,0.39413702810754725
2018-04-23 15:40:01:907344,28.2004,29.560277108066042,-7.359599597155675,-124.53199865718558,0.39438703573717465
