Date/Time,Time Interval (Seconds),0A0,0A1,0A2,0A3
2018-05-29 17:03:14.594469,0.0002,17418,27467,22247,21469
2018-05-29 17:03:16.596337,2.0021,32327,23508,6078,18879
2018-05-29 17:03:18.596334,4.0022,18952,9572,6526,17045
2018-05-29 17:03:20.596314,6.002,14919,2090,3216,10228
2018-05-29 17:03:22.596312,8.002,3992,3474,19587,11311
2018-05-29 17:03:24.596365,10.0021,10926,14941,11426,17397
2018-05-29 17:03:26.596325,12.0021,1535,23238,13359,29455
2018-05-29 17:03:28.596341,14.0022,3808,5787,26038,31108
2018-05-29 17:03:30.596348,16.0022,20272,8269,20863,3554
2018-05-29 17:03:32.596336,18.0021,12601,8834,15241,15111
2018-05-29 17:03:34.596350,20.0022,27148,31067,12904,18376
2018-05-29 17:03:36.596340,22.0022,7340,25919,1928,1733
2018-05-29 17:03:38.596330,24.0021,10534,26478,10125,16641
2018-05-29 17:03:40.596325,26.0021,2483,25418,1537,7241
2018-05-29 17:03:42.596329,28.0021,10042,14400,2708,2901
2018-05-29 17:03:44.595462,30.0013,6334,11742,24039,31774
2018-05-29 17:03:46.596331,32.0021,22370,4599,16235,24312
2018-05-29 17:03:48.596334,34.0022,16572,12400,21901,28855
2018-05-29 17:03:50.596339,36.0021,31607,20681,27194,12346
2018-05-29 17:03:52.596341,38.0021,9587,29904,19162,20992
2018-05-29 17:03:54.596350,40.0022,24948,11764,32003,30434
2018-05-29 17:03:56.596341,42.0021,21674,21480,26823,32405
2018-05-29 17:03:58.596335,44.0021,9946,24530,2463,12045
2018-05-29 17:04:00.596341,46.0022,2587,31201,14368,14073
2018-05-29 17:04:02.596336,48.0021,12785,4481,27463,31351
2018-05-29 17:04:04.596342,50.0021,15612,8731,972,18999
2018-05-29 17:04:06.596351,52.0022,9637,19806,14542,18496
2018-05-29 17:04:08.596336,54.0021,17599,31450,6338,21854
2018-05-29 17:04:10.596328,56.0021,30442,150,21725,21882
2018-05-29 17:04:12.596341,58.0022,9697,470,19465,19600
2018-05-29 17:04:14.596337,60.0021,8563,4876,10700,30511
2018-05-29 17:04:16.596342,62.0022,2009,26573,11215,31762
2018-05-29 17:04:18.596342,64.0022,26098,28461,23088,5983
2018-05-29 17:04:20.596351,66.0022,6939,19678,6777,4668
2018-05-29 17:04:22.596338,68.0021,18610,31806,21029,7634
2018-05-29 17:04:24.596330,70.0021,29660,14006,7198,32694
2018-05-29 17:04:26.596335,72.0021,9935,16236,2822,18689
2018-05-29 17:04:28.596338,74.0021,1078,31131,32752,31285
2018-05-29 17:04:30.596342,76.0022,26348,18571,32418,15451
2018-05-29 17:04:32.596326,78.0021,18228,9694,26863,14940
2018-05-29 17:04:34.596338,80.0021,12831,21372,9573,16540
2018-05-29 17:04:36.596329,82.0021,9554,2808,30158,32016
2018-05-29 17:04:38.596327,84.0021,19678,30906,12527,9563
2018-05-29 17:04:40.596353,86.0022,18509,714,13015,3876
2018-05-29 17:04:42.596333,88.0021,25427,15160,15967,13601
2018-05-29 17:04:44.596338,90.0021,26807,29787,19032,26506
2018-05-29 17:04:46.596336,92.0021,31712,11762,24410,23640
2018-05-29 17:04:48.596330,94.0021,31762,32588,2211,21234
2018-05-29 17:04:50.596379,96.0022,7485,31376,26491,25119
2018-05-29 17:04:52.596351,98.0022,18074,3128,13366,32079
2018-05-29 17:04:54.595820,100.0016,24075,20526,21116,32592
2018-05-29 17:04:56.596341,102.0022,24614,14586,1691,10781
2018-05-29 17:04:58.596339,104.0021,32562,20665,14485,16813
2018-05-29 17:05:00.596336,106.0021,4991,12224,4266,24353
2018-05-29 17:05:02.596340,108.0021,31483,28160,29362,29062
2018-05-29 17:05:04.596341,110.0022,31701,16132,14216,28907
2018-05-29 17:05:06.594910,112.0007,6658,2484,13634,13470
2018-05-29 17:05:08.596341,114.0022,7780,18388,13854,19621
2018-05-29 17:05:10.596334,116.0021,32127,27265,252,421
2018-05-29 17:05:12.596363,118.0022,20275,28976,16260,21706
2018-05-29 17:05:14.596339,120.0021,5044,11237,26730,6507
2018-05-29 17:05:16.596340,122.0021,24554,28779,29362,32283
2018-05-29 17:05:18.596362,124.0022,27248,4989,31251,25241
2018-05-29 17:05:20.596341,126.0021,5961,2192,28142,5713
2018-05-29 17:05:22.596335,128.0021,19668,14109,16114,5380
2018-05-29 17:05:24.596364,130.0022,28889,3644,15622,27292
2018-05-29 17:05:26.596335,132.0021,31186,8649,25933,9100
2018-05-29 17:05:28.596345,134.0022,7501,14965,31630,12179
2018-05-29 17:05:30.594700,136.0005,16300,10705,14114,1049
2018-05-29 17:05:32.596339,138.0022,19350,28694,409,11044
2018-05-29 17:05:34.596335,140.0021,6407,2085,11657,8493
2018-05-29 17:05:36.596336,142.0021,8615,21388,3984,24319
2018-05-29 17:05:38.596335,144.0021,18312,5391,10066,4371
2018-05-29 17:05:40.596341,146.0022,22104,3298,476,32622
2018-05-29 17:05:42.596341,148.0022,14455,30430,25225,18100
2018-05-29 17:05:44.596348,150.0022,8881,22014,12763,16555
2018-05-29 17:05:46.596339,152.0021,8244,24600,19003,24030
2018-05-29 17:05:48.596335,154.0021,17261,28318,1079,28852
2018-05-29 17:05:50.596344,156.0022,1696,9303,11142,22800
2018-05-29 17:05:52.596342,158.0022,31350,17792,21061,29984
2018-05-29 17:05:54.596336,160.0021,26791,15524,1947,4314
2018-05-29 17:05:56.596339,162.0021,9563,5909,11632,14633
2018-05-29 17:05:58.596344,164.0022,22249,21363,8635,20024
2018-05-29 17:06:00.596338,166.0021,3925,9137,29259,27378
2018-05-29 17:06:02.596338,168.0021,13199,22220,17563,29317
2018-05-29 17:06:04.596338,170.0021,18073,30434,27436,6134
2018-05-29 17:06:06.596340,172.0021,29204,20663,18797,10491
2018-05-29 17:06:08.596336,174.0021,6226,31970,5758,18951
2018-05-29 17:06:10.596333,176.0021,24124,8890,11845,9523
2018-05-29 17:06:12.596349,178.0022,1434,21099,4793,24092
2018-05-29 17:06:14.596346,180.0022,16727,25080,25118,21657
2018-05-29 17:06:16.595125,182.0009,60,10953,8915,21998
2018-05-29 17:06:18.596336,184.0021,28700,31990,24312,7995
2018-05-29 17:06:20.596380,186.0022,30103,28809,890,18808
2018-05-29 17:06:22.596338,188.0021,9409,20519,28760,724
2018-05-29 17:06:24.596341,190.0021,3022,32293,19320,18993
2018-05-29 17:06:26.596342,192.0021,22686,23591,18208,1041
2018-05-29 17:06:28.596347,194.0022,13898,11381,526,3275
2018-05-29 17:06:30.596341,196.0021,29680,18197,17397,31480
2018-05-29 17:06:32.596338,198.0021,22793,3223,25735,20284
2018-05-29 17:06:34.596338,200.0021,27141,1087,4011,12655
2018-05-29 17:06:36.596343,202.0022,1082,19157,4823,19614
2018-05-29 17:06:38.596343,204.0022,28976,26169,27679,17471
2018-05-29 17:06:40.596331,206.0021,6113,12338,30848,9256
2018-05-29 17:06:42.596343,208.0022,27295,7240,21282,19625
2018-05-29 17:06:44.596337,210.0021,958,654,31681,15726
2018-05-29 17:06:46.596333,212.0021,29489,9576,1580,21011
2018-05-29 17:06:48.596334,214.0021,2704,1419,15484,5739
2018-05-29 17:06:50.596338,216.0021,13934,18556,18665,12260
2018-05-29 17:06:52.596339,218.0021,30550,3850,21264,28299
2018-05-29 17:06:54.596338,220.0021,10131,6722,8774,32369
2018-05-29 17:06:56.596345,222.0022,15252,17439,17154,31768
2018-05-29 17:06:58.596345,224.0021,18610,17290,1098,25857
2018-05-29 17:07:00.596340,226.0021,4196,4356,29361,17822
2018-05-29 17:07:02.596340,228.0021,23875,11452,29503,27587
2018-05-29 17:07:04.596328,230.0021,10327,26466,28955,4652
2018-05-29 17:07:06.596325,232.0021,25390,8075,387,5086
2018-05-29 17:07:08.596332,234.0021,17,26385,2892,31392
2018-05-29 17:07:10.596337,236.0021,27212,8318,12874,19074
2018-05-29 17:07:12.596335,238.0021,17959,10014,14344,17171
2018-05-29 17:07:14.596330,240.0021,12872,4740,20914,20269
2018-05-29 17:07:16.594843,242.0007,29134,3599,25935,5875
2018-05-29 17:07:18.596339,244.0021,21975,20487,10735,11136
2018-05-29 17:07:20.596340,246.0021,15624,807,24058,13486
2018-05-29 17:07:22.596340,248.0022,25527,13798,18189,15347
2018-05-29 17:07:24.596331,250.0021,13533,16905,10568,912
2018-05-29 17:07:26.596333,252.0022,21017,32713,8139,6235
2018-05-29 17:07:28.596328,254.0021,24136,12874,21016,13401
2018-05-29 17:07:30.596325,256.0021,7666,8014,1117,24260
2018-05-29 17:07:32.596332,258.0021,21839,16549,13397,21795
2018-05-29 17:07:34.596326,260.0021,11954,25049,14146,25769
2018-05-29 17:07:36.596326,262.0021,9710,22293,8231,30531
2018-05-29 17:07:38.596330,264.0021,12606,11802,11511,25131
2018-05-29 17:07:40.596327,266.0021,12413,13712,2272,28801
2018-05-29 17:07:42.596349,268.0022,12795,28600,12183,9536
2018-05-29 17:07:44.596346,270.0022,28977,15228,1847,29857
2018-05-29 17:07:46.596341,272.0022,3921,26400,21460,4976
2018-05-29 17:07:48.595509,274.0013,12219,17703,11278,28381
2018-05-29 17:07:50.596327,276.0021,30302,30025,167,17345
2018-05-29 17:07:52.596326,278.0021,26754,26593,10943,9847
2018-05-29 17:07:54.596334,280.0021,2988,4839,25780,6394
2018-05-29 17:07:56.596329,282.0021,6295,30438,12726,10081
2018-05-29 17:07:58.596328,284.0021,9793,16568,12427,24702
2018-05-29 17:08:00.596326,286.0021,4335,2997,10358,14950
2018-05-29 17:08:02.596326,288.0021,9339,4461,5605,16412
2018-05-29 17:08:04.596340,290.0022,14736,27920,20716,18846
2018-05-29 17:08:06.596350,292.0022,10914,32160,24311,7844
2018-05-29 17:08:08.596346,294.0022,16724,6254,12350,24199
2018-05-29 17:08:10.596346,296.0022,27056,26354,24917,20566
2018-05-29 17:08:12.596338,298.0021,22969,24819,162,17259
2018-05-29 17:08:14.596336,300.0021,23314,19379,6078,14494
2018-05-29 17:08:16.596340,302.0021,26100,5573,19189,15522
2018-05-29 17:08:18.596336,304.0021,28483,9204,19495,17338
2018-05-29 17:08:20.596346,306.0022,8617,22457,1217,3534
2018-05-29 17:08:22.596340,308.0021,12616,19911,8720,15583
2018-05-29 17:08:24.596347,310.0022,11962,27679,11861,28740
2018-05-29 17:08:26.596343,312.0021,32013,20607,20303,6495
2018-05-29 17:08:28.596349,314.0022,27510,19733,7279,31273
2018-05-29 17:08:30.596338,316.0021,1164,9764,25401,7142
2018-05-29 17:08:32.596338,318.0021,31674,3225,26372,29571
2018-05-29 17:08:34.596336,320.0021,51,17074,26589,22149
2018-05-29 17:08:36.596338,322.0021,9831,4878,7944,24655
2018-05-29 17:08:38.596334,324.0021,30577,22457,6804,14239
2018-05-29 17:08:40.596346,326.0022,32707,23017,6449,2805
2018-05-29 17:08:42.596340,328.0021,15152,22984,4373,21281
2018-05-29 17:08:44.596331,330.0021,30449,30371,13625,2986
2018-05-29 17:08:46.596331,332.0021,18146,11042,20417,10841
2018-05-29 17:08:48.596329,334.0021,2289,16073,5809,29964
2018-05-29 17:08:50.596341,336.0022,20932,10972,24593,10257
2018-05-29 17:08:52.596352,338.0022,26715,21323,4644,2039
2018-05-29 17:08:54.596348,340.0022,27068,26159,21660,23098
2018-05-29 17:08:56.596338,342.0021,31302,11050,8060,3841
2018-05-29 17:08:58.596328,344.0021,8149,25661,17499,25144
2018-05-29 17:09:00.596324,346.0021,23614,25644,13143,21311
2018-05-29 17:09:02.596335,348.0021,14255,25223,23911,16633
2018-05-29 17:09:04.596328,350.0021,19547,10949,29187,26304
2018-05-29 17:09:06.596334,352.0021,31095,4337,14455,16638
2018-05-29 17:09:08.596263,354.0021,21363,31622,2516,16798
2018-05-29 17:09:10.596328,356.0021,21248,8441,6920,26142
2018-05-29 17:09:12.596331,358.0021,28294,9026,9113,19350
2018-05-29 17:09:14.596331,360.0021,32134,19215,29976,11493
2018-05-29 17:09:16.596324,362.0021,23289,6653,19706,1228
2018-05-29 17:09:18.596324,364.0021,724,19164,31923,18865
2018-05-29 17:09:20.596329,366.0021,12837,21547,9012,29513
2018-05-29 17:09:22.596330,368.0021,14511,6901,12249,6191
2018-05-29 17:09:24.596326,370.0021,21121,12677,13866,25194
2018-05-29 17:09:26.596325,372.0021,5231,11170,12030,4827
2018-05-29 17:09:28.596325,374.0021,21360,27104,10878,13737
2018-05-29 17:09:30.596322,376.0021,19054,5132,13819,10804
2018-05-29 17:09:32.596332,378.0021,7896,28130,26521,850
2018-05-29 17:09:34.596333,380.0021,23324,1186,15035,18884
2018-05-29 17:09:36.596334,382.0021,30009,17398,31866,24268
2018-05-29 17:09:38.596330,384.0021,11105,3870,2561,19716
2018-05-29 17:09:40.596322,386.0021,8786,28806,4374,6256
2018-05-29 17:09:42.596324,388.0021,1769,21107,16817,30412
2018-05-29 17:09:44.596328,390.0021,31043,32341,27,13568
2018-05-29 17:09:46.596324,392.0021,14030,15076,4886,5485
2018-05-29 17:09:48.596330,394.0021,24297,30044,24095,2585
2018-05-29 17:09:50.596340,396.0022,14825,28366,12264,30966
2018-05-29 17:09:52.596326,398.0021,12180,8958,19256,22601
2018-05-29 17:09:54.596327,400.0021,21660,21152,6479,10651
2018-05-29 17:09:56.596331,402.0021,8882,2936,32205,5837
2018-05-29 17:09:58.596326,404.0021,15118,27559,6787,10414
2018-05-29 17:10:00.596323,406.0021,4148,21464,18058,5909
2018-05-29 17:10:02.596324,408.0021,6476,14626,25839,7674
2018-05-29 17:10:04.596344,410.0022,11093,288,28152,8084
2018-05-29 17:10:06.596332,412.0021,15267,3197,29972,28563
2018-05-29 17:10:08.596331,414.0021,24931,4865,23429,31861
2018-05-29 17:10:10.596330,416.0021,13453,18358,13619,23043
2018-05-29 17:10:12.596316,418.0021,27017,7247,5789,24264
2018-05-29 17:10:14.596371,420.0022,26930,30261,18075,5788
2018-05-29 17:10:16.596324,422.0021,20064,20450,24682,32261
2018-05-29 17:10:18.596335,424.0021,31543,1080,27030,26387
2018-05-29 17:10:20.596330,426.0021,24724,6125,25944,27674
2018-05-29 17:10:22.596322,428.0021,15461,31754,10092,19148
2018-05-29 17:10:24.596322,430.0021,1742,24410,25504,8908
2018-05-29 17:10:26.596327,432.0021,7034,19429,23988,21482
2018-05-29 17:10:28.596324,434.0021,20788,4329,16507,3489
2018-05-29 17:10:30.594672,436.0005,15126,13289,25387,26247
2018-05-29 17:10:32.596338,438.0022,5384,8894,19791,20153
2018-05-29 17:10:34.596327,440.0021,18868,24528,30368,4459
2018-05-29 17:10:36.596326,442.0021,23065,26982,10330,970
2018-05-29 17:10:38.596328,444.0021,19154,28865,24242,394
2018-05-29 17:10:40.596334,446.0021,11676,11891,10548,21842
2018-05-29 17:10:42.596338,448.0022,26635,21171,24928,30978
2018-05-29 17:10:44.596328,450.0021,13033,12537,8363,27869
2018-05-29 17:10:46.595229,452.001,22390,4956,6805,26449
2018-05-29 17:10:48.596332,454.0021,25180,7925,16252,10701
2018-05-29 17:10:50.596335,456.0021,190,8089,4146,22460
2018-05-29 17:10:52.596327,458.0021,564,31195,4719,18787
2018-05-29 17:10:54.596325,460.0021,30912,31201,16935,15467
2018-05-29 17:10:56.596341,462.0021,4449,9079,9232,4811
2018-05-29 17:10:58.596346,464.0022,31236,2032,24967,14860
2018-05-29 17:11:00.596345,466.0022,9388,1499,11203,14432
2018-05-29 17:11:02.596342,468.0022,9801,22292,32657,2430
2018-05-29 17:11:04.596333,470.0021,17846,10338,28352,8893
2018-05-29 17:11:06.595624,472.0014,87,10970,8121,3331
2018-05-29 17:11:08.596342,474.0022,14585,11157,15292,25002
2018-05-29 17:11:10.596348,476.0022,19821,31000,11049,11173
2018-05-29 17:11:12.596332,478.0021,29869,10206,20006,10821
2018-05-29 17:11:14.596327,480.0021,4592,22359,30875,7721
2018-05-29 17:11:16.594746,482.0005,21156,5747,30470,2813
2018-05-29 17:11:18.596338,484.0021,9162,27647,31212,11993
2018-05-29 17:11:20.596341,486.0022,16473,11786,3786,20171
2018-05-29 17:11:22.596347,488.0022,12147,10576,29536,28710
2018-05-29 17:11:24.594982,490.0008,31263,12952,28203,31242
2018-05-29 17:11:26.596063,492.0019,15140,25179,26419,22349
2018-05-29 17:11:28.596333,494.0021,860,27548,21237,4153
2018-05-29 17:11:30.596331,496.0021,26140,24511,29604,1686
2018-05-29 17:11:32.596328,498.0021,4930,1470,30842,31428
2018-05-29 17:11:34.596328,500.0021,21046,20394,20029,17882
2018-05-29 17:11:36.596327,502.0021,21332,28929,1637,18285
2018-05-29 17:11:38.596327,504.0021,28229,31977,9787,5378
2018-05-29 17:11:40.596331,506.0021,6314,4423,22146,7245
2018-05-29 17:11:42.596333,508.0021,31126,12959,985,9125
2018-05-29 17:11:44.596332,510.0021,19993,12035,26872,27171
2018-05-29 17:11:46.596328,512.0021,29166,4582,13998,16963
2018-05-29 17:11:48.596346,514.0022,4173,24136,15459,26984
2018-05-29 17:11:50.596346,516.0022,19009,18338,4257,9329
2018-05-29 17:11:52.595964,518.0018,29653,4039,20727,9479
2018-05-29 17:11:54.596327,520.0021,5295,28606,29569,7516
2018-05-29 17:11:56.596328,522.0021,19166,8257,27994,441
2018-05-29 17:11:58.596330,524.0021,10698,10768,16520,9869
2018-05-29 17:12:00.596334,526.0021,31834,11451,4102,22905
2018-05-29 17:12:02.596342,528.0022,3168,29039,28599,15711
2018-05-29 17:12:04.596344,530.0022,24842,17590,18608,20621
2018-05-29 17:12:06.596329,532.0021,31875,16792,11184,31478
2018-05-29 17:12:08.596338,534.0021,14694,12512,25776,4824
2018-05-29 17:12:10.596338,536.0021,10777,967,15409,7949
2018-05-29 17:12:12.596336,538.0021,24674,20208,13515,2885
2018-05-29 17:12:14.596337,540.0021,32232,11620,20444,12124
2018-05-29 17:12:16.596339,542.0021,15068,24257,9635,6383
2018-05-29 17:12:18.596328,544.0021,26936,11475,12970,20587
2018-05-29 17:12:20.596329,546.0021,3850,18363,18828,10000
