Date/Time,Time Interval (Seconds),0A0,0A1,0A2,0A3
2018-04-23 16:57:39:903338,0.0002,0,-1,3159,2735
2018-04-23 16:57:40:103597,0.2005,0,-1,3153,2729
2018-04-23 16:57:40:303568,0.4004,-1,-1,3156,2744
2018-04-23 16:57:40:503595,0.6006,0,-2,3160,2719
2018-04-23 16:57:40:703591,0.8005,0,0,3165,2736
2018-04-23 16:57:40:903585,1.0005,0,0,3158,2736
2018-04-23 16:57:41:103588,1.2005,0,0,3159,2727
2018-04-23 16:57:41:303590,1.4005,-1,0,3158,2734
2018-04-23 16:57:41:503592,1.6006,0,0,3155,2735
2018-04-23 16:57:41:703594,1.8006,0,0,3160,2745
2018-04-23 16:57:41:903594,2.0006,0,0,3161,2706
2018-04-23 16:57:42:103602,2.2006,0,0,3157,2759
2018-04-23 16:57:42:303602,2.4006,0,0,3156,2706
2018-04-23 16:57:42:503591,2.6005,0,-1,3160,2731
2018-04-23 16:57:42:703587,2.8006,0,-1,3168,2737
2018-04-23 16:57:42:903590,3.0005,0,0,3162,2583
2018-04-23 16:57:43:103614,3.2006,0,0,3159,14032
2018-04-23 16:57:43:303594,3.4006,0,0,3164,14847
2018-04-23 16:57:43:503600,3.6006,0,-1,3160,15035
2018-04-23 16:57:43:703590,3.8005,0,-1,3161,133
2018-04-23 16:57:43:903596,4.0006,0,0,3159,2769
2018-04-23 16:57:44:103590,4.2005,0,-1,3164,14841
2018-04-23 16:57:44:303591,4.4006,-1,0,3160,13039
2018-04-23 16:57:44:503587,4.6005,0,0,3153,130
2018-04-23 16:57:44:703593,4.8005,0,0,3165,14829
2018-04-23 16:57:44:903588,5.0005,0,0,3154,14622
2018-04-23 16:57:45:103600,5.2006,0,-1,3184,3379
2018-04-23 16:57:45:303592,5.4005,0,0,3161,14636
2018-04-23 16:57:45:503590,5.6005,0,-1,3161,14783
2018-04-23 16:57:45:703593,5.8006,0,0,3162,129
2018-04-23 16:57:45:903590,6.0005,0,0,3162,13654
2018-04-23 16:57:46:103608,6.2006,-1,0,3163,15010
2018-04-23 16:57:46:303593,6.4005,0,0,3159,4348
2018-04-23 16:57:46:503598,6.6006,-1,-1,3158,2723
2018-04-23 16:57:46:703583,6.8005,-2,-1,3158,2724
